occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,paleomodel,paleolng,paleolat,geoplate
293807,occ,NA,NA,28009,Undorosaurus gorodischensis,species,173204,NA,Undorosaurus gorodischensis,species,173204,Late Jurassic,NA,163.5,145,7674,gp_mid,49.63,45.12,302
293808,occ,NA,NA,28010,n. gen. Undorosaurus n. sp. gorodischensis,species,173204,NA,Undorosaurus gorodischensis,species,173204,Tithonian,NA,152.1,145,7674,gp_mid,49.21,44.61,302
293809,occ,NA,NA,28011,Undorosaurus n. sp. nessovi,species,432079,NA,Undorosaurus nessovi,species,386525,Late Jurassic,NA,163.5,145,7674,gp_mid,49.63,45.12,302
293810,occ,NA,NA,28012,Undorosaurus n. sp. khorlovensis,species,386528,NA,Undorosaurus khorlovensis,species,386528,Late Jurassic,NA,163.5,145,7674,gp_mid,41.1,42.81,302
293811,occ,NA,NA,28013,Undorosaurus khorlovensis,species,386528,NA,Undorosaurus khorlovensis,species,386528,Late Jurassic,NA,163.5,145,7674,gp_mid,41.1,42.81,302
293866,occ,NA,NA,28041,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Late Callovian,Early Oxfordian,164.7,155.7,7679,gp_mid,-40.08,28.01,101
343565,occ,23642,NA,32321,Baptanodon n. sp. robustus,species,174057,recombined as,Ophthalmosaurus robustus,species,174057,Bathonian,Oxfordian,168.3,157.3,8710,gp_mid,-35.56,30.95,101
384322,occ,NA,NA,36568,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Middle Oxfordian,NA,161.2,155.7,9743,gp_mid,20.75,30.85,305
485535,occ,NA,NA,48614,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Late Jurassic,NA,163.5,145,12970,gp_mid,21.83,30.43,305
527472,occ,NA,NA,53833,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Middle Callovian,NA,164.7,161.2,14495,gp_mid,18.56,35.93,315
627684,occ,NA,NA,67698,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Middle Callovian,NA,164.7,161.2,19329,gp_mid,25.33,36.57,315
653482,occ,NA,NA,70550,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Kimmeridgian,NA,157.3,152.1,23673,gp_mid,15.68,28.2,305
658557,occ,NA,NA,70996,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Late Kimmeridgian,NA,155.7,150.8,23793,gp_mid,13.97,33.64,315
758413,occ,NA,NA,59175,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Late Kimmeridgian,NA,155.7,150.8,27315,gp_mid,24.22,32.34,305
821067,occ,28563,NA,79651,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Early Tithonian,NA,150.8,145,46429,gp_mid,-25.04,-47.24,291
838800,occ,NA,NA,93105,Macropterygius ? sp.,genus,36560,nomen dubium,Ichthyopterygia,unranked clade,38869,Tithonian,NA,152.1,145,31457,gp_mid,13.18,33.29,315
850536,occ,NA,NA,94532,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Late Kimmeridgian,NA,155.7,150.8,46679,gp_mid,16.91,26.69,305
850537,occ,NA,NA,94532,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Late Kimmeridgian,NA,155.7,150.8,32157,gp_mid,16.91,26.69,305
872310,occ,NA,NA,96679,Ophthalmosaurus natans,species,173198,NA,Ophthalmosaurus natans,species,96492,Oxfordian,NA,163.5,157.3,32894,gp_mid,-37.63,31.71,101
872313,occ,NA,NA,96680,Ophthalmosaurus n. sp. chrisorum,species,242544,recombined as,Arthropterygius chrisorum,species,242544,Oxfordian,Kimmeridgian,163.5,152.1,32895,gp_mid,-15.83,61.23,106
880206,occ,NA,NA,97635,Baptanodon n. sp. reedi,species,170321,recombined as,Ophthalmosaurus reedi,species,170321,Late Callovian,Early Oxfordian,164.7,155.7,33338,gp_mid,-37.85,29.96,101
883035,occ,NA,NA,97913,Ophthalmosauria indet.,family,93392,obsolete variant of,Ophthalmosauridae,family,170908,Oxfordian,NA,163.5,157.3,33847,gp_mid,-40.17,-3.31,206
884094,occ,NA,NA,98009,Brachypterygius extremus,species,170918,NA,Brachypterygius extremus,species,170918,Tithonian,NA,152.1,145,33885,gp_mid,30.91,-41.42,702
884095,occ,NA,NA,98009,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Tithonian,NA,152.1,145,33885,gp_mid,30.91,-41.42,702
884160,occ,NA,NA,98014,Brachypterygius extremus,species,170918,NA,Brachypterygius extremus,species,170918,Kimmeridgian,NA,157.3,152.1,33892,gp_mid,14.19,32.63,315
899260,occ,NA,NA,100139,Apatodonosaurus grayi,species,173373,NA,Apatodonosaurus grayi,species,173373,Oxfordian,NA,163.5,157.3,34365,gp_mid,-38.46,29.25,101
900689,occ,NA,NA,92052,Ichthyosaurus dilatatus,species,171437,nomen dubium,Ichthyosaurus,genus,36558,Late Callovian,NA,164.7,161.2,23773,gp_mid,17.95,35.06,315
900692,occ,NA,NA,100518,Ichthyosaurus dilatatus,species,171437,nomen dubium,Ichthyosaurus,genus,36558,Callovian,NA,166.1,163.5,23773,gp_mid,19.04,35.46,315
901178,occ,NA,NA,98478,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Tithonian,NA,152.1,145,23773,gp_mid,13.6,33.53,315
901264,occ,NA,NA,100669,Ichthyosaurus dilatatus,species,171437,nomen dubium,Ichthyosaurus,genus,36558,Oxfordian,NA,163.5,157.3,23773,gp_mid,16.43,34.41,315
902469,occ,NA,NA,101200,Baptanodon discus,species,174059,NA,Baptanodon discus,species,174058,Bathonian,Oxfordian,168.3,157.3,34565,gp_mid,-35.89,29.31,101
908188,occ,NA,NA,102275,Ichthyosauria californicus,species,36543,species not entered,Ichthyosauria,unranked clade,36543,Tithonian,NA,152.1,145,34741,gp_mid,-57.21,32.25,129
908439,occ,NA,NA,102300,Aegirosaurus leptospondylus,species,173196,NA,Aegirosaurus leptospondylus,species,171438,Early Tithonian,NA,150.8,145,34751,gp_mid,23.73,32.03,305
908440,occ,NA,NA,102301,Aegirosaurus leptospondylus,species,173196,NA,Aegirosaurus leptospondylus,species,171438,Early Tithonian,NA,150.8,145,34751,gp_mid,23.75,32.03,305
920237,occ,NA,NA,105081,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Middle Callovian,NA,164.7,161.2,35155,gp_mid,18.31,35.35,315
929816,occ,NA,NA,106362,n. gen. Grendelius n. sp. mordax,species,179483,subjective synonym of,Brachypterygius extremus,species,170918,Early Tithonian,NA,150.8,145,35495,gp_mid,NA,NA,coordinates not computable using this model
946773,occ,NA,NA,110176,Ophthalmosaurus cf. icenicus,species,170921,NA,Ophthalmosaurus icenicus,species,170921,Early Tithonian,NA,150.8,145,36323,gp_mid,-41.59,12.52,104
990024,occ,NA,NA,119281,Ichthyosauria sp.,genus,36543,NA,Ichthyosauria,unranked clade,36543,Oxfordian,NA,163.5,157.3,38279,gp_mid,-36.97,30.33,101
990028,occ,NA,NA,119283,Baptanodon discus,species,174059,NA,Baptanodon discus,species,174058,Oxfordian,NA,163.5,157.3,38280,gp_mid,-36.61,28.4,101
1006664,occ,26287,NA,122657,cf. Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Late Tithonian,Early Berriasian,150.8,140.2,39106,gp_mid,15.54,35.65,315
1006673,occ,NA,NA,122660,Caypullisaurus bonapartei,species,149989,NA,Caypullisaurus bonapartei,species,149989,Late Tithonian,NA,150.8,145,35024,gp_mid,-25.04,-47.24,291
1006674,occ,NA,NA,122661,Caypullisaurus bonapartei,species,149989,NA,Caypullisaurus bonapartei,species,149989,Late Tithonian,NA,150.8,145,35024,gp_mid,-26.16,-46.24,291
1062206,occ,NA,NA,131231,Ophthalmosaurus chrisorum,species,242544,recombined as,Arthropterygius chrisorum,species,242544,Oxfordian,Kimmeridgian,163.5,152.1,42394,gp_mid,-15.83,61.23,106
